"State","FIPS","Name","TotalVotes","Obama","Romney"
"GA",13137,"Habersham",14600,2297,12148
"GA",13135,"Gwinnett",295560,131879,159563
"GA",13133,"Greene",8313,3195,5067
"GA",13131,"Grady",9391,3419,5922
"GA",13129,"Gordon",16857,3436,13174
"GA",13127,"Glynn",33054,11922,20853
"GA",13125,"Glascock",1333,176,1135
"GA",13123,"Gilmer",11008,1955,8920
"GA",13121,"Fulton",386845,248479,133837
"GA",13119,"Franklin",7757,1499,6112
"GA",13117,"Forsyth",81598,14544,65853
"GA",13115,"Floyd",32685,9595,22636
"GA",13113,"Fayette",58473,19703,38046
"GA",13111,"Fannin",10007,2027,7853
"GA",13109,"Evans",3560,1266,2267
"GA",13107,"Emanuel",8060,2919,5086
"GA",13105,"Elbert",8139,3179,4857
"GA",13103,"Effingham",20779,4941,15591
"GA",13101,"Echols",1102,173,917
"GA",13099,"Early",5349,2762,2556
"GA",13097,"Douglas",55201,28410,26226
"GA",13095,"Dougherty",37822,26209,11441
"GA",13093,"Dooly",4289,2278,1983
"GA",13091,"Dodge",7731,2440,5214
"GA",13089,"DeKalb",305299,237704,64308
"GA",13087,"Decatur",10465,4580,5816
"GA",13085,"Dawson",10234,1241,8843
"GA",13083,"Dade",5997,1404,4458
"GA",13081,"Crisp",7386,3160,4179
"GA",13079,"Crawford",5123,1699,3366
"GA",13077,"Coweta",55512,15156,39633
"GA",13075,"Cook",6027,2042,3934
"GA",13073,"Columbia",58842,16420,41724
"GA",13071,"Colquitt",13319,3971,9240
"GA",13069,"Coffee",14434,5048,9242
"GA",13067,"Cobb",308989,132526,171464
"GA",13065,"Clinch",2472,852,1598
"GA",13063,"Clayton",96020,81439,14158
"GA",13061,"Clay",1402,862,537
"GA",13059,"Clarke",40138,25386,13804
"GA",13057,"Cherokee",98041,19813,76473
"GA",13055,"Chattooga",7791,2220,5434
"GA",13053,"Chattahoochee",1483,726,732
"GA",13051,"Chatham",108267,60077,47083
"GA",13049,"Charlton",3763,1197,2527
"GA",13047,"Catoosa",23639,5357,17848
"GA",13045,"Carroll",41445,12635,28249
"GA",13043,"Candler",3526,1155,2344
"GA",13039,"Camden",17938,6358,11318
"GA",13037,"Calhoun",2187,1297,883
"GA",13035,"Butts",9372,2966,6306
"GA",13033,"Burke",9773,5403,4298
"GA",13031,"Bulloch",24032,9572,14159
"GA",13029,"Bryan",13403,3695,9537
"GA",13027,"Brooks",6671,3101,3522
"GA",13025,"Brantley",6001,939,4963
"GA",13023,"Bleckley",4903,1266,3586
"GA",13021,"Bibb",64625,38538,25606
"GA",13019,"Berrien",6187,1268,4837
"GA",13017,"Ben Hill",5947,2508,3395
"GA",13015,"Bartow",35738,8383,26847
"GA",13013,"Barrow",25171,6019,18719
